Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,71397.000000,72617.000000,71155.000000,72123.000000,72123.000000,4414600
2018-06-21,72117.000000,72207.000000,70019.000000,70075.000000,70075.000000,3490800
2018-06-22,70077.000000,71058.000000,69907.000000,70641.000000,70641.000000,3054700
2018-06-25,70642.000000,71323.000000,69779.000000,70953.000000,70953.000000,3346300
2018-06-26,70968.000000,71622.000000,70203.000000,71405.000000,71405.000000,3502300
2018-06-27,71405.000000,72032.000000,70134.000000,70609.000000,70609.000000,3588900
2018-06-28,70609.000000,72092.000000,70439.000000,71767.000000,71767.000000,3511400
2018-06-29,71779.000000,73020.000000,71779.000000,72763.000000,72763.000000,3879400
2018-07-02,72763.000000,72840.000000,71935.000000,72840.000000,72840.000000,2753900
2018-07-03,72848.000000,74515.000000,72848.000000,73668.000000,73668.000000,3253800
2018-07-04,73667.000000,74904.000000,73450.000000,74743.000000,74743.000000,2142100
2018-07-05,74751.000000,75127.000000,73756.000000,74553.000000,74553.000000,3562800
2018-07-06,74558.000000,75065.000000,74048.000000,75010.000000,75010.000000,0
2018-07-10,75015.000000,75895.000000,74431.000000,74862.000000,74862.000000,3901000
2018-07-11,74862.000000,75025.000000,74196.000000,74399.000000,74399.000000,3766800
2018-07-12,74403.000000,75898.000000,74403.000000,75856.000000,75856.000000,3508500
2018-07-13,75856.000000,76682.000000,75554.000000,76594.000000,76594.000000,0
2018-07-16,76587.000000,76924.000000,76129.000000,76653.000000,76653.000000,3134700
2018-07-17,76653.000000,78522.000000,76482.000000,78130.000000,78130.000000,3882900
2018-07-18,78124.000000,78496.000000,77164.000000,77363.000000,77363.000000,3394300
2018-07-19,77360.000000,77487.000000,75890.000000,77487.000000,77487.000000,3781100
2018-07-20,77500.000000,79489.000000,77500.000000,78571.000000,78571.000000,4745200
2018-07-23,78571.000000,78639.000000,77871.000000,77996.000000,77996.000000,2446800
2018-07-24,78005.000000,79497.000000,78005.000000,79155.000000,79155.000000,3283200
2018-07-25,79154.000000,80437.000000,79154.000000,80218.000000,80218.000000,3472700
2018-07-26,80242.000000,80589.000000,79081.000000,79405.000000,79405.000000,3596500
2018-07-27,79405.000000,80251.000000,79405.000000,79866.000000,79866.000000,3015600
2018-07-30,79866.000000,80492.000000,79699.000000,80276.000000,80276.000000,2631400
2018-07-31,80279.000000,80279.000000,79016.000000,79220.000000,79220.000000,3354500
2018-08-01,79213.000000,79731.000000,78769.000000,79302.000000,79302.000000,3227100
2018-08-02,79237.000000,79896.000000,78573.000000,79637.000000,79637.000000,3005500
2018-08-03,79656.000000,81792.000000,79656.000000,81435.000000,81435.000000,3802600
2018-08-06,81445.000000,81765.000000,80965.000000,81051.000000,81051.000000,2516600
2018-08-07,81093.000000,81742.000000,79923.000000,80347.000000,80347.000000,3861200
2018-08-08,80347.000000,80912.000000,78966.000000,79152.000000,79152.000000,3833800
2018-08-09,79171.000000,79461.000000,78156.000000,78768.000000,78768.000000,3717400
2018-08-10,78766.000000,78766.000000,76043.000000,76514.000000,76514.000000,0
2018-08-13,76513.000000,77689.000000,75931.000000,77496.000000,77496.000000,3958200
2018-08-14,77499.000000,78742.000000,77499.000000,78602.000000,78602.000000,3713000
2018-08-15,78614.000000,78618.000000,76829.000000,77078.000000,77078.000000,4386400
2018-08-16,77085.000000,77704.000000,76381.000000,76819.000000,76819.000000,3285400
2018-08-17,76817.000000,76817.000000,75633.000000,76029.000000,76029.000000,3742300
2018-08-20,76029.000000,76497.000000,75608.000000,76328.000000,76328.000000,3578100
2018-08-21,76327.000000,76340.000000,74915.000000,75180.000000,75180.000000,4077000
2018-08-22,75171.000000,76904.000000,74876.000000,76902.000000,76902.000000,3610400
2018-08-23,76898.000000,77232.000000,75466.000000,75634.000000,75634.000000,3866700
2018-08-24,75647.000000,76629.000000,75647.000000,76262.000000,76262.000000,3159900
2018-08-27,76264.000000,78008.000000,76264.000000,77930.000000,77930.000000,2750600
2018-08-28,77928.000000,78038.000000,77149.000000,77473.000000,77473.000000,2964800
2018-08-29,77472.000000,78783.000000,77399.000000,78389.000000,78389.000000,3127600
2018-08-30,78389.000000,78389.000000,76372.000000,76404.000000,76404.000000,3546800
2018-08-31,76386.000000,77202.000000,76026.000000,76678.000000,76678.000000,4145600
2018-09-03,76675.000000,76675.000000,75729.000000,76193.000000,76193.000000,1673300
2018-09-04,76192.000000,76192.000000,74605.000000,74712.000000,74712.000000,3162300
2018-09-05,74712.000000,75370.000000,74276.000000,75092.000000,75092.000000,2830400
2018-09-06,75098.000000,76533.000000,74986.000000,76416.000000,76416.000000,3298500
2018-09-10,76416.000000,77293.000000,76115.000000,76436.000000,76436.000000,3105200
2018-09-11,76437.000000,76437.000000,74275.000000,74657.000000,74657.000000,0
2018-09-12,74680.000000,75680.000000,74499.000000,75125.000000,75125.000000,3709100
2018-09-13,75126.000000,75407.000000,74501.000000,74687.000000,74687.000000,3062100
2018-09-14,74687.000000,75705.000000,74445.000000,75429.000000,75429.000000,3231700
2018-09-17,75428.000000,76893.000000,75227.000000,76789.000000,76789.000000,3397600
2018-09-18,76781.000000,78454.000000,76677.000000,78314.000000,78314.000000,4167000
2018-09-19,78268.000000,79021.000000,77624.000000,78169.000000,78169.000000,3780800
2018-09-20,78169.000000,78944.000000,77820.000000,78116.000000,78116.000000,3137600
2018-09-21,78116.000000,80002.000000,78116.000000,79444.000000,79444.000000,4666800
2018-09-24,79447.000000,79447.000000,77857.000000,77984.000000,77984.000000,0
2018-09-25,77980.000000,78688.000000,77005.000000,78630.000000,78630.000000,3700400
2018-09-26,78634.000000,79461.000000,78530.000000,78656.000000,78656.000000,3735300
2018-09-27,78676.000000,80107.000000,78676.000000,80000.000000,80000.000000,4475000
2018-09-28,80000.000000,80000.000000,78967.000000,79342.000000,79342.000000,4061400
2018-10-01,79350.000000,79557.000000,78091.000000,78624.000000,78624.000000,3134400
2018-10-02,78625.000000,81778.000000,78625.000000,81612.000000,81612.000000,5929900
